Time,carts,catalogue,front-end,orders,payment,queue-master,shipping,user
0,1.9073486328125e-07,1.430511474609375e-06,3.814697265625e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
5,1.9073486328125e-07,1.430511474609375e-06,3.814697265625e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
10,1.9073486328125e-07,1.430511474609375e-06,3.814697265625e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
15,1.9073486328125e-07,1.430511474609375e-06,5.7220458984375e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
20,1.9073486328125e-07,1.430511474609375e-06,5.7220458984375e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
25,1.9073486328125e-07,1.430511474609375e-06,5.7220458984375e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
30,1.9073486328125e-07,1.430511474609375e-06,5.7220458984375e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
35,1.9073486328125e-07,1.430511474609375e-06,5.7220458984375e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
40,1.9073486328125e-07,1.430511474609375e-06,5.7220458984375e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
45,1.9073486328125e-07,1.430511474609375e-06,4.76837158203125e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
50,1.9073486328125e-07,1.430511474609375e-06,4.76837158203125e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
55,1.9073486328125e-07,1.430511474609375e-06,4.76837158203125e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
60,1.9073486328125e-07,1.430511474609375e-06,4.76837158203125e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
65,1.9073486328125e-07,1.430511474609375e-06,4.76837158203125e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
70,1.9073486328125e-07,1.430511474609375e-06,4.76837158203125e-07,1.9073486328125e-07,0.0,1.1444091796875e-06,1.52587890625e-06,9.5367431640625e-07
