Time,carts,catalogue,front-end,orders,payment,queue-master,shipping,user
0,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
5,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
10,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
15,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
20,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
25,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
30,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
35,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
40,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
45,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
50,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
55,1.7166137695312498e-06,1.430511474609375e-06,0.0,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
60,1.7166137695312498e-06,1.430511474609375e-06,8.583068847656249e-07,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
65,1.7166137695312498e-06,1.430511474609375e-06,8.583068847656249e-07,0.0,4.291534423828125e-06,9.5367431640625e-07,1.3351440429687501e-06,3.3378601074218754e-06
