Time,carts,catalogue,front-end,orders,payment,queue-master,shipping,user
0,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
5,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
10,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
15,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
20,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
25,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
30,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
35,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
40,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
45,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
50,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
55,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
60,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
65,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
70,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
75,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
80,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
85,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
90,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
95,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
100,0.0,2.384185791015625e-06,0.0,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
