Time,carts,catalogue,front-end,orders,payment,queue-master,shipping,user
0,40910848,17502208,16867328,115335168,5259264,20643840,156704768,13160448
5,40910848,17502208,16867328,115335168,5259264,20643840,156704768,13160448
10,40910848,17502208,16867328,115335168,5259264,20643840,156704768,13160448
15,40910848,17502208,16924672,115335168,5259264,20643840,156704768,13160448
20,42344448,17502208,16924672,115355648,5259264,20643840,156704768,13217792
25,42344448,17502208,16924672,115355648,5259264,20643840,156704768,13217792
30,42344448,17502208,16924672,115355648,5259264,20643840,156704768,13217792
35,42344448,17502208,16924672,115355648,5259264,20643840,156704768,13217792
40,42344448,17502208,16924672,115355648,5259264,20643840,156704768,13217792
45,42344448,17502208,16924672,115355648,5259264,20643840,156704768,13217792
50,42381312,17502208,16924672,115408896,5259264,20643840,156704768,13217792
55,42381312,17502208,16924672,115408896,5259264,20643840,156704768,13217792
60,42381312,17502208,16924672,115408896,5259264,20643840,156704768,13217792
65,42381312,17502208,16924672,115408896,5259264,20643840,156704768,13217792
70,42381312,17502208,16924672,115408896,5259264,20643840,156704768,13217792
75,42381312,17502208,16924672,115408896,5259264,20643840,156704768,13217792
80,46444544,17502208,16924672,115892224,5259264,20643840,156704768,13217792
85,46444544,17502208,16924672,115892224,5259264,20643840,156704768,13217792
90,46444544,17502208,16924672,115892224,5259264,20643840,156704768,13217792
95,46444544,17502208,16924672,115892224,5259264,20643840,156704768,13217792
100,46444544,17502208,16924672,115892224,5259264,20643840,156704768,13217792
105,46444544,17502208,16924672,115892224,5259264,20643840,156704768,13217792
110,47456256,17502208,16924672,123244544,5259264,20643840,156704768,13217792
115,47456256,17502208,16924672,123244544,5259264,20643840,156704768,13217792
120,47456256,17502208,16924672,123244544,5259264,20643840,156704768,13217792
125,47456256,17502208,16924672,123244544,5259264,20643840,156704768,13217792
130,47456256,17502208,16924672,123244544,5259264,20643840,156704768,13217792
135,47456256,17502208,16924672,123244544,5259264,20643840,156704768,13217792
140,47484928,17502208,16924672,123252736,5259264,20643840,156704768,13225984
145,47484928,17502208,16924672,123252736,5259264,20643840,156704768,13225984
150,47484928,17502208,16924672,123252736,5259264,20643840,156704768,13225984
155,47484928,17502208,16924672,123252736,5259264,20643840,156704768,13225984
160,47484928,17502208,16924672,123252736,5259264,20643840,156704768,13225984
165,47484928,17502208,16924672,123252736,5259264,20643840,156704768,13225984
170,47484928,17502208,16924672,125632512,5259264,20643840,156704768,13225984
175,47484928,17502208,16924672,125632512,5259264,20643840,156704768,13225984
180,47484928,17502208,16924672,125632512,5259264,20643840,156704768,13225984
185,47484928,17502208,16924672,125632512,5259264,20643840,156704768,13225984
190,47484928,17502208,16924672,125632512,5259264,20643840,156704768,13225984
195,47484928,17502208,16924672,125632512,5259264,20643840,156704768,13225984
200,47513600,17502208,16924672,125669376,5259264,20643840,156704768,13225984
205,47513600,17502208,16924672,125669376,5259264,20643840,156704768,13225984
210,47513600,17502208,16924672,125669376,5259264,20643840,156704768,13225984
215,47513600,17502208,16924672,125669376,5259264,20643840,156704768,13225984
220,47513600,17502208,16924672,125669376,5259264,20643840,156704768,13225984
225,47513600,17502208,16924672,125669376,5259264,20643840,156704768,13225984
230,47570944,17502208,16924672,125779968,5259264,20643840,156704768,13225984
235,47570944,17502208,16924672,125779968,5259264,20643840,156704768,13225984
240,47570944,17502208,16924672,125779968,5259264,20643840,156704768,13225984
245,47570944,17502208,16924672,125779968,5259264,20643840,156704768,13225984
250,47570944,17502208,16924672,125779968,5259264,20643840,156704768,13225984
255,47570944,17502208,16924672,125779968,5259264,20643840,156704768,13225984
260,47620096,17502208,16924672,125837312,5259264,20643840,156704768,13225984
265,47620096,17502208,16924672,125837312,5259264,20643840,156704768,13225984
270,47620096,17502208,16924672,125837312,5259264,20643840,156704768,13225984
275,47620096,17502208,16924672,125837312,5259264,20643840,156704768,13225984
280,47620096,17502208,16924672,125837312,5259264,20643840,156704768,13225984
285,47620096,17502208,16924672,125837312,5259264,20643840,156704768,13225984
290,47620096,17502208,16924672,125956096,5259264,20643840,156704768,13225984
295,47620096,17502208,16924672,125956096,5259264,20643840,156704768,13225984
300,47620096,17502208,16924672,125956096,5259264,20643840,156704768,13225984
