Time,carts,catalogue,front-end,orders,payment,queue-master,shipping,user
0,0.0,3.814697265625e-06,5.7220458984375e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
5,0.0,3.814697265625e-06,5.7220458984375e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
10,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
15,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
20,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
25,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
30,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
35,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
40,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
45,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
50,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
55,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
60,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
65,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
70,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
75,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
80,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
85,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
90,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
95,0.0,3.814697265625e-06,6.675720214843751e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
100,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
105,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
110,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
115,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
120,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
125,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
130,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
135,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
140,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
145,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
150,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
155,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
160,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
165,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
170,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
175,0.0,3.814697265625e-06,7.62939453125e-07,1.9073486328125e-07,4.76837158203125e-07,1.52587890625e-06,1.7166137695312498e-06,0.0
